0.040000	0.0025368060
0.080000	0.0052688387
0.120000	0.0082091494
0.160000	0.0113717411
0.200000	0.0147720398
0.240000	0.0184262767
0.280000	0.0223517735
0.320000	0.0265669059
0.360000	0.0310912728
0.400000	0.0359457098
0.440000	0.0411521904
0.480000	0.0467341244
0.520000	0.0527167022
0.560000	0.0591261908
0.600000	0.0659904182
0.640000	0.0733387247
0.680000	0.0812017620
0.720000	0.0896138027
0.760000	0.0986106917
0.800000	0.1082283407
0.840000	0.1185039207
0.880000	0.1294755191
0.920000	0.1411824524
0.960000	0.1536638141
1.000000	0.1669586301
1.040000	0.1810877025
1.080000	0.1960215122
1.120000	0.2117619514
1.160000	0.2283169776
1.200000	0.2456884235
1.240000	0.2638608515
1.280000	0.2827673554
1.320000	0.3023638427
1.360000	0.3226214051
1.400000	0.3435000479
1.440000	0.3649269640
1.480000	0.3868058324
1.520000	0.4090367258
1.560000	0.4315418899
1.600000	0.4542092383
1.640000	0.4769137204
1.680000	0.4994369447
1.720000	0.5214865804
1.760000	0.5427640080
1.800000	0.5630742311
1.840000	0.5817542076
1.880000	0.5984470844
1.920000	0.6129352450
1.960000	0.6250203252
2.000000	0.6345587969
2.040000	0.6411229968
2.080000	0.6436703801
2.120000	0.6421852112
2.160000	0.6368857026
2.200000	0.6280808449
2.240000	0.6160982847
2.280000	0.6001225114
2.320000	0.5805047154
2.360000	0.5577434301
2.400000	0.5327556133
2.440000	0.5063678622
2.480000	0.4789900780
2.520000	0.4511476755
2.560000	0.4235059917
2.600000	0.3964893818
2.640000	0.3703474700
2.680000	0.3452770710
2.720000	0.3222329319
2.760000	0.3030770123
2.800000	0.2871358991
2.840000	0.2737720907
2.880000	0.2625674307
2.920000	0.2532162070
2.960000	0.2453741729
3.000000	0.2387774885
3.040000	0.2332407832
3.080000	0.2285981923
3.120000	0.2247017920
3.160000	0.2214327157
3.200000	0.2186895013
3.240000	0.2163906097
3.280000	0.2144689411
3.320000	0.2128693312
3.360000	0.2115440220
3.400000	0.2104528248
3.440000	0.2095626295
3.480000	0.2088441253
3.520000	0.2082744688
3.560000	0.2078297287
3.600000	0.2074864209
3.640000	0.2072191089
3.680000	0.2070127279
3.720000	0.2068525702
3.760000	0.2067199349
3.800000	0.2066002041
3.840000	0.2064840943
3.880000	0.2063604295
3.920000	0.2062156945
3.960000	0.2060344964
4.000000	0.2058124840
4.040000	0.2055496871
4.080000	0.2052532583
4.120000	0.2049217075
4.160000	0.2045431137
4.200000	0.2040910423
4.240000	0.2035613358
4.280000	0.2029517591
4.320000	0.2022609562
4.360000	0.2014899403
4.400000	0.2006392628
4.440000	0.1997088492
4.480000	0.1986983269
4.520000	0.1976078302
4.560000	0.1964400560
4.600000	0.1951960325
4.640000	0.1938762218
4.680000	0.1924805790
4.720000	0.1910009533
4.760000	0.1894351989
4.800000	0.1877831072
4.840000	0.1860266477
4.880000	0.1841633469
4.920000	0.1822039336
4.960000	0.1801714301
5.000000	0.1780697703
5.039999	0.1759017706
5.079999	0.1736708879
5.120000	0.1713812202
5.160000	0.1690377146
5.200000	0.1666443199
5.240000	0.1642043293
5.280000	0.1617222577
5.320000	0.1592107862
5.360000	0.1566764861
5.400000	0.1541228294
5.440000	0.1515531540
5.480000	0.1489711255
5.520000	0.1463794261
5.560000	0.1437809169
5.600000	0.1411786377
5.640000	0.1385748237
5.680000	0.1359725446
5.720000	0.1333737522
5.760000	0.1307812780
5.800000	0.1281971335
5.840000	0.1256230175
5.880000	0.1230614111
5.920000	0.1205139011
5.960000	0.1179824099
6.000000	0.1154683083
6.039999	0.1129732803
6.080000	0.1104995757
6.120000	0.1080489978
6.160000	0.1056229770
6.200000	0.1032226756
6.240000	0.1008494049
6.280000	0.0985042155
6.320000	0.0961881354
6.360000	0.0939022452
6.400000	0.0916472003
6.440000	0.0894238353
6.480000	0.0872329473
6.520000	0.0850749388
6.559999	0.0829507113
6.599999	0.0808603391
6.639999	0.0788048357
6.679999	0.0767843351
6.720000	0.0747992173
6.760000	0.0728496164
6.800000	0.0709359795
6.840000	0.0690582693
6.880000	0.0672167614
6.920000	0.0654119849
6.960000	0.0636439100
7.000000	0.0619124882
7.040000	0.0602174141
7.080000	0.0585586764
7.120000	0.0569358394
7.160000	0.0553487688
7.200000	0.0537970737
7.240000	0.0522807762
7.280000	0.0507993698
7.320000	0.0493524335
7.360000	0.0479396433
7.400000	0.0465605557
7.440000	0.0452147312
7.480000	0.0439017005
7.520000	0.0426210091
7.559999	0.0413722172
7.599999	0.0401547030
7.639999	0.0389680490
7.680000	0.0378117859
7.720000	0.0366854072
7.760000	0.0355881974
7.800000	0.0345198326
7.840000	0.0334797278
7.880000	0.0324672796
7.920000	0.0314820707
7.960000	0.0305234566
8.000000	0.0295909029
8.040000	0.0286839493
8.080000	0.0278020035
8.120000	0.0269446336
8.160000	0.0261111967
8.200000	0.0253011789
8.240000	0.0245140810
8.280000	0.0237494037
8.320000	0.0230065733
8.360000	0.0222850852
8.400000	0.0215843953
8.440000	0.0209040958
8.480000	0.0202436671
8.520000	0.0196026023
8.559999	0.0189805273
8.599999	0.0183769576
8.639999	0.0177914500
8.679999	0.0172234718
8.719999	0.0166725740
8.759999	0.0161383692
8.799999	0.0156203760
8.839999	0.0151181296
8.879999	0.0146312835
8.919999	0.0141593395
8.959999	0.0137019036
9.000000	0.0132586146
9.040000	0.0128290029
9.080000	0.0124127483
9.120000	0.0120094111
9.160000	0.0116186300
9.200000	0.0112400725
9.240000	0.0108733661
9.280000	0.0105181606
9.320000	0.0101741441
